Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
127,Fabrizio Romano,FabrizioRomano,Luka Modrić has played his last game at Real Madrid. Legend. Up next: AC Milan.,2025-07-09T21:04:58.000Z,2025-07-09,712,4611,82524,2350670,https://x.com/FabrizioRomano/status/1943053790414016844,true,true
128,Barça Worldwide,BarcaWorldwide,Carlo Ancelotti has been sentenced to one year in prison for tax fraud just after leaving Real Madrid,2025-07-09T14:33:22.000Z,2025-07-09,49,150,3070,109120,https://x.com/BarcaWorldwide/status/1942955239176585669,true,true
129,valking ♔,_VALKlNG,Real Madrid: - new manager - new CB - new striker - new Rb Same finished club.,2025-07-09T19:44:54.000Z,2025-07-09,31,144,1587,22496,https://x.com/_VALKlNG/status/1943033642445369517,true,false
130,The Touchline | Football Coverage,TouchlineX,"𝗡𝗘𝗪: Real Madrid fans were chanting ""Puta Barça puta Barça, HEY, HEY!"" after going 2-0 down.",2025-07-09T19:22:03.000Z,2025-07-09,335,872,8223,552893,https://x.com/TouchlineX/status/1943027892524302451,true,true
131,The Screenshot Lad,thescreenlad,PSG - Inter Miami 4-0 PSG - Real Madrid 4-0,2025-07-09T21:03:29.000Z,2025-07-09,41,143,1900,66326,https://x.com/thescreenlad/status/1943053416244351072,true,true
132,𝔻𝕣𝕒𝕪,sammy__dray,Hope Real Madrid fans still love Nuno Mendes and Vitinha,2025-07-09T21:04:34.000Z,2025-07-09,83,1097,13226,234637,https://x.com/sammy__dray/status/1943053688639037492,true,false
133,REAL MADRID FANS ,AdriRM33,"Hazlo Florentino, es necesario.",2025-07-09T23:05:27.000Z,2025-07-09,224,736,14283,369115,https://x.com/AdriRM33/status/1943084112689959115,true,true
134,lobistars,john322226,If Real Madrid win today my followers go eat with me.,2025-07-09T11:29:11.000Z,2025-07-09,164,76,749,33101,https://x.com/john322226/status/1942908889747591598,true,true
135,L E S E D I,_Hybreed_,Real Madrid,2025-07-09T21:12:57.000Z,2025-07-09,27,60,693,24682,https://x.com/_Hybreed_/status/1943055800643260878,true,true
136,OneFootball,OneFootball,"Kylian Mbappé has still never found the net against PSG, not in his Monaco days and not at his first attempt with Real Madrid",2025-07-09T21:45:00.000Z,2025-07-09,47,104,2676,22894,https://x.com/OneFootball/status/1943063866638053861,true,true
137,Dona Lúcia,DonaLuciaHexa,- saiu do PSG de graça - não conquistou a Champions no Real Madrid - viu o PSG conquistar sua 1ª Champions League - foi goleado e humilhado pelo PSG na Copa do Mundo de Clubes,2025-07-09T21:11:08.000Z,2025-07-09,149,565,15116,186204,https://x.com/DonaLuciaHexa/status/1943055340742062132,true,true
138,Miss ADEL,a_derll,"After Real Madrid’s game with PSG, I learnt that…..",2025-07-09T21:02:20.000Z,2025-07-09,441,91,3875,196431,https://x.com/a_derll/status/1943053127571406941,true,true
