Tweet_count,Username,Handle,Text,Timestamp,Created At,Replies,Retweets,Likes,Views,Url,isVerified,hasMedia
59,B/R Football,brfootball,24'—PSG 3-0 Real Madrid,2025-07-09T19:35:34.000Z,2025-07-09,355,3010,28389,899353,https://x.com/brfootball/status/1943031293895143592,true,true
60,Owuraku Ampofo,_owurakuampofo,PSG fans in Ghana celebrating as they lead Real Madrid in the Club World Cup semi-finals.,2025-07-09T19:44:22.000Z,2025-07-09,209,275,4270,82458,https://x.com/_owurakuampofo/status/1943033506122305585,true,true
61,The Touchline | Football Coverage,TouchlineX,"Luis Enrique on Mbappé's departure a couple of weeks ago: ""I think I was very brave last season when I said that we were going to have a better team without Mbappé. I still think we are better, the stats are there... I'd rather have 4 players who score 12 goals each than 1",2025-07-09T20:01:43.000Z,2025-07-09,382,3401,42267,2788892,https://x.com/TouchlineX/status/1943037871239368846,true,true
62,Pain.𝕏,GBarca_,“When Mbappe lands Madrid”,2025-07-09T21:51:27.000Z,2025-07-09,28,162,3402,46882,https://x.com/GBarca_/status/1943065487480623549,true,true
63,(fan) Trey,UTDTrey,"I like Real Madrid I like PSG No hate watching today, I just sit back and wait for one of them to destroy Chelsea on Sunday",2025-07-09T09:16:04.000Z,2025-07-09,391,882,18043,413003,https://x.com/UTDTrey/status/1942875388218069368,true,true
64,Dr. Maalouf ‏,realMaalouf,"This would never be allowed in Dubai or Saudi Arabia, but it’s allowed in London and every Western city or Christian country. Why is that?",2025-07-09T08:54:37.000Z,2025-07-09,1440,3160,9358,163270,https://x.com/realMaalouf/status/1942869990408900878,true,true
65,Donald J. Trump Daily ,TrumpRealDaily,IT'S OFFICIAL: AOC WILL face charges for allegedly teaching illegal immigrants how to avoid capture by ICE! Do you support these charges? YES or NO?,2025-07-09T18:18:01.000Z,2025-07-09,473,190,1070,17958,https://x.com/TrumpRealDaily/status/1943011776611688829,true,true
66,The Touchline | Football Coverage,TouchlineX,Ousmane Dembélé could be a Ballon d'Or winner BEFORE Kylian Mbappé while also having won the Champions League BEFORE Kylian Mbappé. Would this rank himself above Mbappé?,2025-07-09T11:50:00.000Z,2025-07-09,479,788,17825,933323,https://x.com/TouchlineX/status/1942914128148058580,true,true
67,LiveScore,livescore,PSG are making a mockery of Real Madrid,2025-07-09T19:46:24.000Z,2025-07-09,37,403,6385,56736,https://x.com/livescore/status/1943034019702305065,true,true
68,Barcelona Da Depressão | Fã,BarcaDepressaoo,> vá para o time “galático” da temporada > seja favorito a todos os títulos > perca três títulos contra seu maior rival > veja seu ex-clube ganhar a UCL após você sair > seja sapecado na semifinal do Mundial de Clubes pelo ex-clube Brutal o que sobrou pro Mbappé,2025-07-09T20:12:17.000Z,2025-07-09,59,599,7009,120025,https://x.com/BarcaDepressaoo/status/1943040531942281421,true,true
69,(fan) Trey,UTDTrey,PSG 4-0 Atletico Madrid PSG 0-1 Botafogo Seattle Sounders 0-2 PSG PSG 4-0 Inter Miami PSG 2-0 Bayern PSG 4-0 Real Madrid Botafogo:,2025-07-09T21:06:31.000Z,2025-07-09,164,648,10500,221329,https://x.com/UTDTrey/status/1943054181146988898,true,true
70,Bayern & Germany,iMiaSanMia,Serge Gnabry and Franck Ribéry watching PSG against Real Madrid,2025-07-09T19:51:14.000Z,2025-07-09,116,371,9490,193783,https://x.com/iMiaSanMia/status/1943035234536264038,true,true
71,𝐂𝐀 𝐕𝐀?,psg_chief,Inter Miami vs PSG : 2-0 after 30 mins Real Madrid vs PSG : 2-0 after 9 mins TALK NOW,2025-07-09T19:23:21.000Z,2025-07-09,154,1402,13598,366568,https://x.com/psg_chief/status/1943028217658384675,true,true
72,ESPN FC,ESPNFC,"Mbappe posted this photo of himself in his old PSG uniform in front of a ""GOAT"" advertisement ahead of his first-ever matchup vs. his former club",2025-07-09T12:00:01.000Z,2025-07-09,201,1324,23135,445287,https://x.com/ESPNFC/status/1942916650354819408,true,true
73,Real Madrid C.F.,realmadrid,¡Nuestro XI inicial! @PSG_espanol,2025-07-09T17:30:35.000Z,2025-07-09,1096,6274,33332,2512535,https://x.com/realmadrid/status/1942999837802205467,true,true
74,Joaconel.,Joaconel,Así festejaba Luis Enrique el tercer gol del PSG JAJAJA odia al Real Madrid con toda su alma,2025-07-09T19:53:51.000Z,2025-07-09,90,2350,44685,419984,https://x.com/Joaconel/status/1943035894623277409,true,true
75,Torren,Torren__,"Imagina ser Mbappé y pegarte seis años en el PSG intentando ganar la Champions y cuando te vas al Madrid para ganarla, la gana el PSG y le mete 4-0 al Real Madrid eliminándolo del Mundialito.",2025-07-09T21:14:30.000Z,2025-07-09,139,705,4357,113692,https://x.com/Torren__/status/1943056189006414244,true,true
76,ESPN FC,ESPNFC,FIFA president Gianni Infantino sitting between Real Madrid president Florentino Perez and PSG president Nasser Al-Khelaifi,2025-07-09T19:33:59.000Z,2025-07-09,96,428,7275,137743,https://x.com/ESPNFC/status/1943030894303826049,true,true
77,Miss ADEL,a_derll,"After Real Madrid’s game with PSG, I learnt that…..",2025-07-09T21:02:20.000Z,2025-07-09,434,90,3784,189865,https://x.com/a_derll/status/1943053127571406941,true,true
78,Gênio Neymar Jr.³,genioneymarjr1,- cria birra com messi - faz neymar sair do PSG - ano seguinte vaza do psg - processa o clube por calote - pede a exclusão do psg da ucl - meses depois: psg campeão da ucl - seu time toma uma surra do psg nas semi do mundial THIS IS MBAPPE,2025-07-09T21:03:09.000Z,2025-07-09,45,434,4612,64534,https://x.com/genioneymarjr1/status/1943053331674357869,true,true
79,FerElTomateAzul ,FerElTomatxAzul,> Llega al PSG > Caen en champions por Mbappé > Echa a Mbappé y se lo encasqueta al Madrid > Gana la Champions > Procede a humillar al Madrid de Mbappé DIRECTOR DE ORQUESTA.,2025-07-09T19:48:07.000Z,2025-07-09,15,723,10935,116749,https://x.com/FerElTomatxAzul/status/1943034448934768835,true,true
